Date,Region,Geological_Topographical_Factors,Climatic_Conditions,Forest_Biodiversity,Water_Resources,Land_Use_Urbanization,Disaster_Risk_Management,Pollution_Environmental_Degradation,Socio_Economic_Policy_Aspects
2004-12-31,Dehradun,High_Mountains,16°C_279mm,83%_156_species,Reduced_Flow,45%_Urban,Moderate_Risk,High_AQI,Low_GDP_Lax_Policies
2005-12-31,Dehradun,High_Mountains,24°C_206mm,75%_170_species,Normal_Flow,54%_Urban,High_Risk,Moderate_AQI,High_GDP_Strict_Policies
2006-12-31,Dehradun,High_Mountains,17°C_288mm,84%_163_species,Reduced_Flow,76%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2007-12-31,Dehradun,High_Mountains,16°C_221mm,89%_178_species,Normal_Flow,72%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2008-12-31,Dehradun,High_Mountains,28°C_174mm,83%_171_species,Reduced_Flow,47%_Urban,Low_Risk,Low_AQI,Low_GDP_Lax_Policies
2009-12-31,Dehradun,High_Mountains,20°C_187mm,91%_168_species,High_Flow,44%_Urban,High_Risk,High_AQI,High_GDP_Strict_Policies
2010-12-31,Dehradun,High_Mountains,13°C_203mm,94%_131_species,Normal_Flow,78%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2011-12-31,Dehradun,High_Mountains,12°C_249mm,81%_121_species,Normal_Flow,43%_Urban,Low_Risk,High_AQI,High_GDP_Strict_Policies
2012-12-31,Dehradun,High_Mountains,11°C_187mm,77%_168_species,Normal_Flow,45%_Urban,High_Risk,Low_AQI,Medium_GDP_Lax_Policies
2013-12-31,Dehradun,High_Mountains,21°C_257mm,79%_168_species,Normal_Flow,71%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2014-12-31,Dehradun,High_Mountains,15°C_229mm,91%_178_species,Reduced_Flow,69%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2015-12-31,Dehradun,High_Mountains,10°C_157mm,91%_121_species,Normal_Flow,74%_Urban,Moderate_Risk,Low_AQI,Medium_GDP_Lax_Policies
2016-12-31,Dehradun,High_Mountains,21°C_188mm,76%_147_species,High_Flow,79%_Urban,High_Risk,High_AQI,High_GDP_Strict_Policies
2017-12-31,Dehradun,High_Mountains,26°C_158mm,79%_151_species,High_Flow,55%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2018-12-31,Dehradun,High_Mountains,19°C_287mm,75%_120_species,Normal_Flow,52%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2019-12-31,Dehradun,High_Mountains,25°C_114mm,93%_121_species,High_Flow,69%_Urban,High_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2020-12-31,Dehradun,High_Mountains,24°C_289mm,86%_145_species,Normal_Flow,58%_Urban,Moderate_Risk,Moderate_AQI,High_GDP_Strict_Policies
2021-12-31,Dehradun,High_Mountains,28°C_207mm,80%_151_species,Normal_Flow,56%_Urban,Moderate_Risk,High_AQI,Medium_GDP_Lax_Policies
2022-12-31,Dehradun,High_Mountains,29°C_163mm,78%_174_species,High_Flow,58%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2023-12-31,Dehradun,High_Mountains,12°C_150mm,85%_175_species,Normal_Flow,67%_Urban,High_Risk,High_AQI,Low_GDP_Lax_Policies
2004-12-31,Nainital,Moderate_Hills,16°C_120mm,91%_157_species,High_Flow,65%_Urban,Moderate_Risk,Moderate_AQI,High_GDP_Strict_Policies
2005-12-31,Nainital,Moderate_Hills,18°C_266mm,79%_171_species,Reduced_Flow,76%_Urban,High_Risk,Low_AQI,Low_GDP_Lax_Policies
2006-12-31,Nainital,Moderate_Hills,27°C_231mm,76%_125_species,Normal_Flow,65%_Urban,High_Risk,High_AQI,Low_GDP_Lax_Policies
2007-12-31,Nainital,Moderate_Hills,23°C_108mm,85%_167_species,Reduced_Flow,62%_Urban,Low_Risk,High_AQI,High_GDP_Strict_Policies
2008-12-31,Nainital,Moderate_Hills,11°C_183mm,90%_152_species,High_Flow,48%_Urban,Moderate_Risk,Low_AQI,Medium_GDP_Lax_Policies
2009-12-31,Nainital,Moderate_Hills,24°C_287mm,83%_179_species,Reduced_Flow,51%_Urban,Low_Risk,High_AQI,Low_GDP_Lax_Policies
2010-12-31,Nainital,Moderate_Hills,16°C_271mm,80%_135_species,Reduced_Flow,40%_Urban,Moderate_Risk,High_AQI,High_GDP_Strict_Policies
2011-12-31,Nainital,Moderate_Hills,17°C_274mm,77%_139_species,High_Flow,40%_Urban,Moderate_Risk,Moderate_AQI,High_GDP_Strict_Policies
2012-12-31,Nainital,Moderate_Hills,12°C_180mm,78%_138_species,Reduced_Flow,73%_Urban,Moderate_Risk,High_AQI,Medium_GDP_Lax_Policies
2013-12-31,Nainital,Moderate_Hills,13°C_149mm,77%_138_species,Reduced_Flow,71%_Urban,Moderate_Risk,Low_AQI,Low_GDP_Lax_Policies
2014-12-31,Nainital,Moderate_Hills,17°C_231mm,94%_151_species,High_Flow,64%_Urban,Moderate_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2015-12-31,Nainital,Moderate_Hills,11°C_233mm,81%_171_species,Reduced_Flow,79%_Urban,High_Risk,Moderate_AQI,High_GDP_Strict_Policies
2016-12-31,Nainital,Moderate_Hills,19°C_103mm,83%_152_species,High_Flow,40%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2017-12-31,Nainital,Moderate_Hills,27°C_143mm,82%_158_species,Reduced_Flow,55%_Urban,High_Risk,Low_AQI,Medium_GDP_Lax_Policies
2018-12-31,Nainital,Moderate_Hills,11°C_289mm,92%_159_species,High_Flow,78%_Urban,Moderate_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2019-12-31,Nainital,Moderate_Hills,13°C_113mm,75%_130_species,High_Flow,44%_Urban,Low_Risk,High_AQI,Low_GDP_Lax_Policies
2020-12-31,Nainital,Moderate_Hills,25°C_114mm,92%_142_species,Reduced_Flow,61%_Urban,Moderate_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2021-12-31,Nainital,Moderate_Hills,17°C_289mm,84%_154_species,Reduced_Flow,68%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2022-12-31,Nainital,Moderate_Hills,17°C_181mm,81%_179_species,Reduced_Flow,42%_Urban,High_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2023-12-31,Nainital,Moderate_Hills,24°C_152mm,90%_145_species,Normal_Flow,51%_Urban,Low_Risk,Low_AQI,Medium_GDP_Lax_Policies
2004-12-31,Haridwar,Plains,22°C_140mm,90%_176_species,Normal_Flow,65%_Urban,Low_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2005-12-31,Haridwar,Plains,24°C_144mm,94%_179_species,Normal_Flow,55%_Urban,Low_Risk,High_AQI,High_GDP_Strict_Policies
2006-12-31,Haridwar,Plains,10°C_188mm,91%_121_species,High_Flow,76%_Urban,Low_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2007-12-31,Haridwar,Plains,16°C_108mm,75%_167_species,Reduced_Flow,61%_Urban,Low_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2008-12-31,Haridwar,Plains,10°C_235mm,86%_124_species,High_Flow,68%_Urban,Moderate_Risk,Low_AQI,Medium_GDP_Lax_Policies
2009-12-31,Haridwar,Plains,20°C_180mm,79%_151_species,Normal_Flow,53%_Urban,Low_Risk,Low_AQI,Medium_GDP_Lax_Policies
2010-12-31,Haridwar,Plains,17°C_262mm,83%_160_species,Reduced_Flow,67%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2011-12-31,Haridwar,Plains,12°C_132mm,77%_138_species,High_Flow,44%_Urban,High_Risk,Moderate_AQI,High_GDP_Strict_Policies
2012-12-31,Haridwar,Plains,14°C_140mm,90%_135_species,Reduced_Flow,69%_Urban,Low_Risk,High_AQI,Low_GDP_Lax_Policies
2013-12-31,Haridwar,Plains,16°C_171mm,77%_139_species,High_Flow,44%_Urban,High_Risk,Low_AQI,Medium_GDP_Lax_Policies
2014-12-31,Haridwar,Plains,21°C_261mm,75%_143_species,Reduced_Flow,51%_Urban,Moderate_Risk,Low_AQI,Low_GDP_Lax_Policies
2015-12-31,Haridwar,Plains,10°C_147mm,94%_130_species,Normal_Flow,55%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2016-12-31,Haridwar,Plains,14°C_198mm,91%_127_species,Normal_Flow,65%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2017-12-31,Haridwar,Plains,21°C_203mm,78%_157_species,Reduced_Flow,65%_Urban,High_Risk,High_AQI,High_GDP_Strict_Policies
2018-12-31,Haridwar,Plains,12°C_292mm,82%_139_species,High_Flow,60%_Urban,Moderate_Risk,High_AQI,High_GDP_Strict_Policies
2019-12-31,Haridwar,Plains,12°C_200mm,77%_167_species,Normal_Flow,78%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2020-12-31,Haridwar,Plains,24°C_230mm,77%_144_species,Normal_Flow,75%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2021-12-31,Haridwar,Plains,10°C_104mm,92%_165_species,Normal_Flow,72%_Urban,High_Risk,Moderate_AQI,High_GDP_Strict_Policies
2022-12-31,Haridwar,Plains,23°C_202mm,92%_121_species,Reduced_Flow,69%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2023-12-31,Haridwar,Plains,18°C_114mm,77%_135_species,Reduced_Flow,76%_Urban,High_Risk,High_AQI,Low_GDP_Lax_Policies
2004-12-31,Almora,Hilly_Terrain,19°C_223mm,83%_155_species,High_Flow,62%_Urban,Low_Risk,Low_AQI,High_GDP_Strict_Policies
2005-12-31,Almora,Hilly_Terrain,22°C_278mm,75%_123_species,High_Flow,49%_Urban,High_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2006-12-31,Almora,Hilly_Terrain,16°C_151mm,75%_133_species,High_Flow,44%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2007-12-31,Almora,Hilly_Terrain,13°C_250mm,90%_139_species,Reduced_Flow,75%_Urban,Moderate_Risk,High_AQI,Low_GDP_Lax_Policies
2008-12-31,Almora,Hilly_Terrain,16°C_242mm,82%_126_species,Reduced_Flow,73%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2009-12-31,Almora,Hilly_Terrain,20°C_128mm,77%_136_species,High_Flow,70%_Urban,Low_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2010-12-31,Almora,Hilly_Terrain,13°C_112mm,75%_167_species,High_Flow,49%_Urban,Moderate_Risk,High_AQI,High_GDP_Strict_Policies
2011-12-31,Almora,Hilly_Terrain,16°C_286mm,86%_178_species,Reduced_Flow,58%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2012-12-31,Almora,Hilly_Terrain,28°C_185mm,93%_141_species,High_Flow,71%_Urban,Moderate_Risk,Moderate_AQI,Medium_GDP_Lax_Policies
2013-12-31,Almora,Hilly_Terrain,11°C_269mm,88%_149_species,Normal_Flow,40%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2014-12-31,Almora,Hilly_Terrain,22°C_161mm,80%_157_species,Reduced_Flow,44%_Urban,High_Risk,Low_AQI,Medium_GDP_Lax_Policies
2015-12-31,Almora,Hilly_Terrain,15°C_127mm,87%_170_species,High_Flow,43%_Urban,High_Risk,Low_AQI,Low_GDP_Lax_Policies
2016-12-31,Almora,Hilly_Terrain,21°C_143mm,82%_146_species,Reduced_Flow,55%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2017-12-31,Almora,Hilly_Terrain,29°C_129mm,76%_140_species,Normal_Flow,63%_Urban,Low_Risk,Moderate_AQI,High_GDP_Strict_Policies
2018-12-31,Almora,Hilly_Terrain,20°C_227mm,75%_147_species,Reduced_Flow,55%_Urban,Low_Risk,Moderate_AQI,Low_GDP_Lax_Policies
2019-12-31,Almora,Hilly_Terrain,16°C_289mm,89%_152_species,Reduced_Flow,41%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2020-12-31,Almora,Hilly_Terrain,10°C_228mm,79%_179_species,Reduced_Flow,67%_Urban,Low_Risk,High_AQI,Medium_GDP_Lax_Policies
2021-12-31,Almora,Hilly_Terrain,29°C_102mm,90%_138_species,Reduced_Flow,71%_Urban,High_Risk,Low_AQI,High_GDP_Strict_Policies
2022-12-31,Almora,Hilly_Terrain,16°C_297mm,78%_154_species,Normal_Flow,66%_Urban,Moderate_Risk,High_AQI,Medium_GDP_Lax_Policies
2023-12-31,Almora,Hilly_Terrain,17°C_254mm,91%_136_species,Reduced_Flow,59%_Urban,High_Risk,Low_AQI,Low_GDP_Lax_Policies
